id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
f3000762-ee48-4249-b341-880dd5116215,0,HTML,CSS,HTML 定義的 `.todo-list` 容器依賴於 CSS 模組中的 Flexbox 規則來實現網格排列。,8.0,8,['d39173a54ea8333401c6fc92b0a3d24d6c60b5d03c0352c9c996f419c9935c19c152374823ea381dddec2726266a2113d77facffeff2c7b69001481158285e85']
1ff7e999-cf0d-4ce7-894e-ff8774af9e7c,1,HTML,JS,"JS 模組中的 `renderTodos()` 函式查找 HTML 中的 `id=""todoList""` 元素並將內容注入其中。",9.0,5,['d39173a54ea8333401c6fc92b0a3d24d6c60b5d03c0352c9c996f419c9935c19c152374823ea381dddec2726266a2113d77facffeff2c7b69001481158285e85']
e5c3d271-66af-4ee5-983f-0a3fa52b6e8f,2,HTML,TODO-LIST,`.todo-list` 是一個 CSS 選擇器，選擇 HTML 中的待辦事項列表容器。,6.0,7,['d39173a54ea8333401c6fc92b0a3d24d6c60b5d03c0352c9c996f419c9935c19c152374823ea381dddec2726266a2113d77facffeff2c7b69001481158285e85']
363e48fe-fb8b-4797-992f-b3e307fda222,3,CSS,JS,JS 是狀態的管理者，當使用者點擊編輯按鈕時，JS 會切換 HTML 元素的 class，這些 class 的視覺效果由 CSS 定義。,8.0,7,['d39173a54ea8333401c6fc92b0a3d24d6c60b5d03c0352c9c996f419c9935c19c152374823ea381dddec2726266a2113d77facffeff2c7b69001481158285e85']
0b004de9-9cb6-4ad8-b92b-69348c5f1030,4,CSS,FLEXBOX,Flexbox 是 CSS 模組中的一種佈局模式，直接影響 HTML 的顯示效果。,7.0,6,['d39173a54ea8333401c6fc92b0a3d24d6c60b5d03c0352c9c996f419c9935c19c152374823ea381dddec2726266a2113d77facffeff2c7b69001481158285e85']
bce5f555-b77f-4029-82c9-defad57cac10,5,RENDERTODOS(),INNERHTML,`renderTodos()` 函式使用 `innerHTML` 將動態生成的卡片注入到 HTML 中。,8.0,4,['d39173a54ea8333401c6fc92b0a3d24d6c60b5d03c0352c9c996f419c9935c19c152374823ea381dddec2726266a2113d77facffeff2c7b69001481158285e85']
c933acdf-c1af-4a9a-a3ca-e60745d4a44d,6,VIEW-MODE,EDIT-MODE,`.view-mode` 和 `.edit-mode` 是兩個相互依賴的 CSS 類別，分別用於顯示不同的視覺效果和切換顯示狀態。`.view-mode` 主要用於顯示內容的靜態視圖，適合用戶查看資料而不進行編輯；而 `.edit-mode` 則提供編輯功能，允許用戶對內容進行修改。這兩個模式的切換使得用戶能夠在查看和編輯之間靈活轉換，提升了使用者體驗。,8.0,4,"['d39173a54ea8333401c6fc92b0a3d24d6c60b5d03c0352c9c996f419c9935c19c152374823ea381dddec2726266a2113d77facffeff2c7b69001481158285e85'
 'a6767e76d4e5bc6ba7c835c723b3b5e7a5045170bfa2d1237f52eb0136f182088317c7b928288da1af9518dc10f8d005418399360ef1012911e9d07e28631e38']"
5695d46e-4830-497b-9eb7-79755ab54cad,7,HTML模組,靜態骨架,HTML模組定義了應用程式的基礎層次，靜態骨架是其重要組成部分。,8.0,7,['4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2']
ba3be087-ae1f-43f3-a5a2-f4543778ba30,8,HTML模組,CSS的附著點,HTML模組透過class和id屬性為CSS提供了附著點。,8.0,7,['4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2']
ae752c14-c40a-4a0a-bfda-8d6736eae6b9,9,HTML模組,JS的操作舞台,HTML模組預留了特定容器作為JS的操作舞台。,8.0,8,['4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2']
073ae0b8-ecac-4896-a172-3cfd5e6a11b8,10,HTML模組,命名策略,HTML模組的命名策略影響元素的唯一性和重複性。,6.0,7,['4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2']
6d0f4948-7385-4570-b175-25188272b2a2,11,HTML模組,語意化與原生行為,HTML模組使用語意化標籤來賦予應用程式原生行為。,7.0,7,['4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2']
